methods pbe pbe-d3 camb3lyp-d3 b3lyp/gtbas1 hf/gtbas1 hf/gtbas2 hf/gtbas3 hf/gtlargexp hf/gfhfb1 hf/gfhfb2 mp2/gtbas1 mp2/gtbas2 mp2/gtbas3 mp2/gtlargexp mp4/gtbas1 mp4/gtbas2 mp4/gtbas3 ccsd(t)/gtbas1 g4(0k) zpe camb3lyp wb97xd
f6_C6H12_007 -235.573721081 -235.588056154 -235.780643834 -235.860950035 -234.165238987 -234.168184701 -234.195489510 -234.241951980 -234.260490631 -234.264389510 -0.23495248406643E03 -0.23496396446608E03 -0.23517547914656E03 -0.23553733212913E03 -0.23504537572E03 -0.23505779492E03 -0.23528167769E03 -0.23504762702E03 -235.631921 0.163233 -235.770053808 -235.846761146
f6_C6H12_008 -235.575172756 -235.588942013 -235.781242205 -235.862944369 -234.166842214 -234.169641222 -234.197227325 -234.243400142 -234.262046802 -234.265954604 -0.23495282345268E03 -0.23496403232573E03 -0.23517553259052E03 -0.23553677691755E03 -0.23504584799E03 -0.23505802796E03 -0.23528189335E03 -0.23504810246E03 -235.631684 0.163232 -235.771088209 -235.847093039
f6_C6H12_009 -235.572413749 -235.585943937 -235.778497629 -235.859980699 -234.164679556 -234.167594711 -234.195014362 -234.241423091 -234.260097984 -234.264014401 -0.23494934604523E03 -0.23496060473445E03 -0.23517182172658E03 -0.23553343644612E03 -0.23504256811E03 -0.23505474569E03 -0.23527841281E03 -0.23504499591E03 -235.628236 0.163730 -235.768636586 -235.844493057
f6_C6H12_010 -235.574411604 -235.588794345 -235.780850880 -235.863123592 -234.168325792 -234.170548735 -234.197820615 -234.242947499 -234.261483879 -234.265348582 -0.23495374984646E03 -0.23496357317650E03 -0.23517697709757E03 -0.23553588062252E03 -0.23504787892E03 -0.23505874735E03 -0.23528461766E03 -0.23505045968E03 -235.624196 0.164441 -235.770329489 -235.848881753
f6_C6H14_000 -236.802254881 -236.819447422 -237.021407296 -237.104999959 -235.363700121 -235.365966935 -235.395586770 -235.441711900 -235.460691871 -235.464709985 -0.23616222069358E03 -0.23617280194239E03 -0.23640197076801E03 -0.23676646307579E03 -0.23626252512E03 -0.23627428187E03 -0.23651704925E03 -0.23626532921E03 -236.856875 0.184617 -237.008716425 -237.092606154
f6_C6H14_001 -236.800844369 -236.817613864 -237.019458121 -237.103784661 -235.362132546 -235.364287823 -235.394196535 -235.440278251 -235.459332968 -235.463371665 -0.23615902846146E03 -0.23616924353210E03 -0.23639883227404E03 -0.23676324636838E03 -0.23625963719E03 -0.23627094555E03 -0.23651423236E03 -0.23626256762E03 -236.853720 0.185020 -237.007126081 -237.090584627
f6_C6H6_000 -231.910122307 -231.919767346 -232.086616277 -232.162852939 -230.594807938 -230.603443319 -230.621636822 -230.671905931 -230.689882957 -230.693231455 -0.23134550001262E03 -0.23136015774572E03 -0.23152195290267E03 -0.23187600572406E03 -0.23142636303E03 -0.23144081669E03 -0.23161115004E03 -0.23142791143E03 -231.998347 0.094546 -232.079179032 -232.133894440
f6_C6H6_001 -231.880657877 -231.889957096 -232.051732956 -232.133577596 -230.554127781 -230.562502609 -230.581383564 -230.630564621 -230.648302114 -230.651620219 -0.23130713568004E03 -0.23132215024076E03 -0.23148441761783E03 -0.23183666655353E03 -0.23138861476E03 -0.23140348823E03 -0.23157438411E03 -0.23138936773E03 -231.960247 0.093067 -232.044441108 -232.096015789
f6_C6H6_002 -232.008880435 -232.019847644 -232.192144100 -232.264741851 -230.702413962 -230.710531131 -230.725048367 -230.774822156 -230.793435312 -230.796837176 -0.23145764710499E03 -0.23147180367045E03 -0.23163164061580E03 -0.23198502317745E03 -0.23153151038E03 -0.23154552068E03 -0.23171352096E03 -0.23153040146E03 -232.094007 0.098690 -232.183862695 -232.236547671
f6_C6H8_000 -233.108370082 -233.119492584 -233.299781346 -233.373504293 -231.766953846 -231.773717995 -231.795432193 -231.844536325 -231.862414009 -231.865906637 -0.23253637912285E03 -0.23255041367343E03 -0.23272814338314E03 -0.23308456267105E03 -0.23261692578E03 -0.23263156332E03 -0.23281919148E03 -0.23261647051E03 -233.192645 0.116487 -233.291357964 -233.351696569
f6_C6H8_001 -233.134806241 -233.146267881 -233.322343636 -233.400680869 -231.790240654 -231.796842526 -231.817059003 -231.865436369 -231.883563617 -231.887047267 -0.23255074938053E03 -0.23256377042484E03 -0.23274196526633E03 -0.23309704179367E03 -0.23263684208E03 -0.23265013909E03 -0.23283821326E03 -0.23263893411E03 -233.211930 0.117340 -233.313657082 -233.375761570
f6_C6H8_002 -233.073710586 -233.084268758 -233.254004227 -233.333121430 -231.717394441 -231.720545936 -231.744605322 -231.789266522 -231.807219334 -231.810721867 -0.23249061236623E03 -0.23250077735753E03 -0.23268472898891E03 -0.23303671874464E03 -0.23257310827E03 -0.23258385945E03 -0.23277720912E03 -0.23257435747E03 -233.145993 0.118502 -233.246130136 -233.312984785
f6_C6H8_003 -233.102603049 -233.113905881 -233.286155194 -233.361249108 -231.748465778 -231.753854104 -231.776007578 -231.823391430 -231.840941394 -231.844460928 -0.23252489192417E03 -0.23253807780935E03 -0.23271693581984E03 -0.23307213294394E03 -0.23260576241E03 -0.23261941838E03 -0.23280799074E03 -0.23260671976E03 -233.179956 0.117738 -233.277681777 -233.343013516
f6_C6H8_004 -233.155069484 -233.167067819 -233.343115677 -233.415699961 -231.809665680 -231.814625146 -231.835832136 -231.883145273 -231.900958666 -231.904498182 -0.23257988304573E03 -0.23259248769547E03 -0.23277111044593E03 -0.23312597353646E03 -0.23266085973E03 -0.23267381221E03 -0.23286213376E03 -0.23266196673E03 -233.231535 0.120284 -233.334235945 -233.397614820
f6_C6H8_005 -233.116692459 -233.126451145 -233.305400512 -233.381647276 -231.775028036 -231.780785937 -231.802951495 -231.851453054 -231.869430920 -231.872959064 -0.23253933175570E03 -0.23255182867951E03 -0.23273107900775E03 -0.23308700291809E03 -0.23262023881E03 -0.23263334391E03 -0.23282234579E03 -0.23261964027E03 -233.194652 0.117145 -233.298115675 -233.357143861
f6_C6H8_006 -233.107134719 -233.118044143 -233.289903236 -233.365534281 -231.752600748 -231.757667752 -231.780067342 -231.827236342 -231.844853883 -231.848388185 -0.23252781791564E03 -0.23254077015920E03 -0.23271981980981E03 -0.23307507309140E03 -0.23260863610E03 -0.23262207646E03 -0.23281077822E03 -0.23260945827E03 -233.182743 0.117764 -233.281735739 -233.346629823
f6_C6H8_007 -233.170866570 -233.183285264 -233.362619598 -233.436348541 -231.830709137 -231.837611512 -231.856130515 -231.905627907 -231.924063123 -231.927599098 -0.23259298904245E03 -0.23260684977881E03 -0.23278267685974E03 -0.23313897641705E03 -0.23267787961E03 -0.23269176706E03 -0.23287744814E03 -0.23267990013E03 -233.249524 0.120255 -233.353334776 -233.413990309
f6_C6H8_008 -233.123508244 -233.135900501 -233.309019215 -233.382615994 -231.774106180 -231.779125348 -231.800130592 -231.846871988 -231.864084512 -231.867531167 -0.23255084404506E03 -0.23256274373535E03 -0.23274542762773E03 -0.23309867752737E03 -0.23263194710E03 -0.23264422127E03 -0.23283654257E03 -0.23263291941E03 -233.203114 0.120676 -233.299934540 -233.366859302
f6_C6H8_009 -233.130225044 -233.141280964 -233.316543497 -233.394864503 -231.784740994 -231.790877953 -231.811779402 -231.860046787 -231.878322495 -231.881834538 -0.23254820978278E03 -0.23256098073241E03 -0.23273872911992E03 -0.23309404589006E03 -0.23263317295E03 -0.23264620900E03 -0.23283378955E03 -0.23263526932E03 -233.201410 0.117585 -233.308252439 -233.370666857
f6_C6H8_011 -233.170221454 -233.182463904 -233.363140928 -233.436361742 -231.832513607 -231.838969831 -231.858888417 -231.908179076 -231.926823565 -231.930365180 -0.23259139820583E03 -0.23260422453795E03 -0.23278128505514E03 -0.23313738008053E03 -0.23267704657E03 -0.23268993348E03 -0.23287669459E03 -0.23267929488E03 -233.249264 0.120035 -233.353963577 -233.414233752
f6_CH5NO3P_000 -662.695815966 -662.705422462 -663.110549006 -663.055843183 -660.635206150 -660.659270895 -660.696309983 -660.840190531 -660.869046145 -660.881728808 -0.66158746961212E03 -0.66163710985117E03 -0.66188148682374E03 -0.66264832140632E03 -0.66164507893E03 -0.66169771210E03 -0.66195979530E03 -0.66164137693E03 -662.825395 0.077148 -663.103224848 -663.096327473
f6_CH5O4P_000 -683.111006525 -683.119574797 -683.545259839 -683.505577262 -681.041122062 -681.054186322 -681.118202661 -681.256844314 -681.289044663 -681.302946429 -0.68199346549041E03 -0.68202400860125E03 -0.68230747311879E03 -0.68306711973630E03 -0.68204733771E03 -0.68208093063E03 -0.68238258011E03 -0.68204412676E03 -683.247585 0.075963 -683.538670227 -683.526006561
f6_CH6NO3P_000 -663.224778303 -663.234876904 -663.642299590 -663.609618298 -661.182060926 -661.196153519 -661.255893987 -661.386499823 -661.416562697 -661.429125274 -0.66212399680512E03 -0.66215644418806E03 -0.66242961637264E03 -0.66317678557927E03 -0.66218386973E03 -0.66221885907E03 -0.66250945557E03 -0.66218137487E03 -663.346175 0.088176 -663.634573592 -663.633277181
f7_C2H7O4P_000 -722.384981041 -722.396263631 -722.854756404 -722.828216168 -720.081563943 -720.095010339 -720.163353980 -720.309441857 -720.344660903 -720.359176506 -0.72116495903910E03 -0.72119707001177E03 -0.72151578661615E03 -0.72233521629039E03 -0.72123475422E03 -0.72127021945E03 -0.72160903788E03 -0.72123178103E03 -722.531191 0.103764 -722.846054213 -722.845889592
f7_C2H7O4P_003 -722.363689080 -722.375334441 -722.835695088 -722.811377409 -720.068078087 -720.081263887 -720.145487183 -720.291109122 -720.325624668 -720.340118435 -0.72114828939435E03 -0.72118040684834E03 -0.72149520777049E03 -0.72231332212902E03 -0.72121958539E03 -0.72125520395E03 -0.72159040646E03 -0.72121631723E03 -722.509619 0.104509 -722.826590275 -722.824799505
f7_C3H12N4_001 -340.215301153 -340.229299984 -340.491127355 -340.542807929 -338.335255971 -338.349176241 -338.387466064 -338.476212131 -338.502126903 -338.507937883 -0.33937955497651E03 -0.33941165830729E03 -0.33967484269012E03 -0.34015739401830E03 -0.33947775939E03 -0.33951165407E03 -0.33979033925E03 -0.33947975748E03 -340.291744 0.170912 -340.481178694 -340.542670325
f7_C3H4Cl2O2_000 -1187.02306931 -1187.03340431 -1187.62525259 -1187.58644629 -1184.61268360 -1184.61990917 -1184.64991664 -1184.77588766 -1184.81550950 -1184.82202438 -0.11856132764406E04 -0.11856349574252E04 -0.11859061078129E04 -0.11869711885405E04 -0.11856992798E04 -0.11857230790E04 -0.11860209698E04 -0.11856937525E04 -1187.205570 0.070683 -1187.61693342 -1187.60604966
f7_C3H4N4_000 -335.476675964 -335.486681311 -335.717402560 -335.765016263 -333.748659578 -333.759000104 -333.784735016 -333.867188533 -333.891568023 -333.896350014 -0.33475302707859E03 -0.33477693096906E03 -0.33497339990997E03 -0.33543247731517E03 -0.33482736914E03 -0.33485234430E03 -0.33506041334E03 -0.33482291170E03 -335.590760 0.080718 -335.709974329 -335.745214208
f7_C3H5N3O_001 -356.497052917 -356.507756535 -356.752272916 -356.792780307 -354.679450450 -354.691219563 -354.718124864 -354.809668604 -354.836531739 -354.841991420 -0.35571725850293E03 -0.35574443414237E03 -0.35596228360221E03 -0.35644048299222E03 -0.35579549688E03 -0.35582416691E03 -0.35605512721E03 -0.35579039310E03 -356.603524 0.091840 -356.744422321 -356.778999818
f7_C3H5O3S_000 -740.840958891 -740.852847091 -741.275485397 -741.236579599 -738.571703201 -738.590245242 -738.644139410 -738.793122779 -738.818742416 -738.836516770 -0.73964032446538E03 -0.73968240038898E03 -0.73996628276051E03 -0.74078751605213E03 -0.73971447573E03 -0.73975955826E03 -0.74006232260E03 -0.73970787983E03 -740.991404 0.082175 -741.266168664 -741.272701092
f7_C3H7ClO3_000 -803.966480661 -803.978166178 -804.436976288 -804.422693250 -801.733992526 -801.744867904 -801.783077420 -801.906302091 -801.943387651 -801.950568927 -0.80279033708322E03 -0.80281951951660E03 -0.80311057567839E03 -0.80391346261122E03 -0.80287354047E03 -0.80290549023E03 -0.80321932962E03 -0.80287193078E03 -804.115678 0.106547 -804.428121494 -804.438597087
f7_C3H7N3O_000 -357.733438122 -357.745575909 -358.005040274 -358.042248957 -355.894583244 -355.906904473 -355.938106813 -356.030910977 -356.057765751 -356.063449066 -0.35693074337393E03 -0.35695973539882E03 -0.35719776999212E03 -0.35768139710539E03 -0.35701131738E03 -0.35704225130E03 -0.35729444451E03 -0.35700801612E03 -357.834191 0.115385 -357.996207769 -358.037806438
f7_C3H8O3S_000 -742.579347488 -742.592657795 -743.021183890 -743.006243164 -740.288385589 -740.297179136 -740.371688073 -740.507629510 -740.535316433 -740.552744272 -0.74136366042239E03 -0.74138930349878E03 -0.74171378231668E03 -0.74251861475646E03 -0.74144451347E03 -0.74147311851E03 -0.74181774324E03 -0.74143933363E03 -742.705362 0.117191 -743.011077695 -743.031097279
f7_C3H8O3S_001 -742.564052973 -742.577341586 -743.007903076 -742.995090931 -740.281296753 -740.289607751 -740.359706019 -740.495490261 -740.522596988 -740.539854041 -0.74135414364668E03 -0.74137909482000E03 -0.74169936301309E03 -0.74250288201471E03 -0.74143654769E03 -0.74146455996E03 -0.74180535577E03 -0.74143087261E03 -742.690588 0.117076 -742.997699582 -743.015230824
f7_C3H8O3S_002 -742.568125571 -742.580751186 -743.011896259 -742.998929010 -740.285380459 -740.294093592 -740.364221002 -740.500713747 -740.527729891 -740.545133636 -0.74135745361068E03 -0.74138252224734E03 -0.74170227549665E03 -0.74250650415764E03 -0.74143980233E03 -0.74146792472E03 -0.74180824202E03 -0.74143417183E03 -742.694605 0.116784 -743.002242467 -743.019068528
f7_C3H8O3S_003 -742.551569212 -742.563981915 -742.994634657 -742.982498041 -740.264609403 -740.274056005 -740.347078335 -740.483291264 -740.510607687 -740.528318390 -0.74133605672893E03 -0.74136190959230E03 -0.74168435537975E03 -0.74248768792841E03 -0.74141801043E03 -0.74144686803E03 -0.74178963067E03 -0.74141309586E03 -742.675910 0.117320 -742.985174220 -743.002860550
f7_C4H10O2S_000 -706.656812064 -706.672344279 -707.081236377 -707.086950757 -704.461584539 -704.468986551 -704.533138579 -704.653603075 -704.677659150 -704.693253715 -0.70548720567692E03 -0.70550986230262E03 -0.70581879276832E03 -0.70659694429481E03 -0.70558025261E03 -0.70560534180E03 -0.70593425012E03 -0.70557597656E03 -706.766965 0.139878 -707.069386499 -707.106059366
f7_C4H10O2S_001 -706.658083149 -706.674065943 -707.082767951 -707.088642882 -704.462984476 -704.470099274 -704.534289334 -704.653980148 -704.678192044 -704.693641147 -0.70548953118257E03 -0.70551194069512E03 -0.70582128140150E03 -0.70659859130378E03 -0.70558268470E03 -0.70560756780E03 -0.70593684965E03 -0.70557821934E03 -706.768338 0.140089 -707.070501556 -707.107237235
f7_C4H11N3_000 -322.971146215 -322.987248757 -323.234982134 -323.296182926 -321.183341696 -321.192384170 -321.224072181 -321.300551987 -321.324456235 -321.329677676 -0.32219266018593E03 -0.32221683617371E03 -0.32246390229388E03 -0.32292351707429E03 -0.32228919298E03 -0.32231526043E03 -0.32257656812E03 -0.32229024227E03 -323.053886 0.161523 -323.223284008 -323.288055349
f7_C4H11NO2_000 -363.927159642 -363.942369175 -364.223881634 -364.266399315 -362.027205431 -362.037504773 -362.076376368 -362.170537300 -362.199147001 -362.205540934 -0.36307870619553E03 -0.36310683866340E03 -0.36338505636675E03 -0.36387828498940E03 -0.36317031326E03 -0.36320096078E03 -0.36349588531E03 -0.36317028242E03 -364.025928 0.155066 -364.212771581 -364.265974412
f7_C4H3Cl3_000 -1534.13078112 -1534.14273322 -1534.84866583 -1534.79775534 -1531.61253309 -1531.61718031 -1531.64286008 -1531.75950954 -1531.79966012 -1531.80530447 -0.15325132493185E04 -0.15325278076902E04 -0.15327772876180E04 -0.15340858898670E04 -0.15326088461E04 -0.15326241115E04 -0.15329019054E04 -0.15326082330E04 -1534.339367 0.057345 -1534.83863159 -1534.82161974
f7_C4H3Cl3_001 -1534.12050383 -1534.13336650 -1534.84127637 -1534.78786889 -1531.60417294 -1531.60874510 -1531.63458046 -1531.75096688 -1531.79083173 -1531.79641859 -0.15325064060426E04 -0.15325231609462E04 -0.15327706029593E04 -0.15340795598735E04 -0.15326019847E04 -0.15326195741E04 -0.15328953743E04 -0.15326013430E04 -1534.333480 0.056797 -1534.83016172 -1534.81426285
f7_C4H4Cl2O_000 -1149.86928266 -1149.88105774 -1150.44258464 -1150.41836878 -1147.55839160 -1147.56641668 -1147.59723886 -1147.70987871 -1147.74707311 -1147.75303549 -0.11485076044346E04 -0.11485283333871E04 -0.11487813628867E04 -0.11498217050587E04 -0.11485971950E04 -0.11486189738E04 -0.11488956480E04 -0.11485959510E04 -1150.048779 0.070567 -1150.43294161 -1150.43145818
f7_C4H4Cl2O_001 -1149.86532553 -1149.87720514 -1150.43939599 -1150.41455648 -1147.55657258 -1147.56417487 -1147.59451637 -1147.70680217 -1147.74392801 -1147.74990829 -0.11485051705653E04 -0.11485258903435E04 -0.11487775674183E04 -0.11498178481580E04 -0.11485949008E04 -0.11486167178E04 -0.11488920759E04 -0.11485940787E04 -1150.045571 0.070564 -1150.42959234 -1150.42837594
f7_C4H4N2O_000 -339.180131963 -339.189738843 -339.410199506 -339.469383057 -337.428193842 -337.437508454 -337.463392532 -337.544698995 -337.571457687 -337.576502598 -0.33843711916115E03 -0.33845763934542E03 -0.33866107225556E03 -0.33911854765266E03 -0.33852075248E03 -0.33854228932E03 -0.33875710908E03 -0.33851689959E03 -339.293586 0.076241 -339.402906063 -339.437847228
f7_C4H4N2O_002 -339.279935319 -339.290108694 -339.522844023 -339.570583997 -337.551084649 -337.562231471 -337.586160146 -337.671826986 -337.697332060 -337.702394455 -0.33854391473957E03 -0.33856796773271E03 -0.33877038183089E03 -0.33923359141420E03 -0.33861939475E03 -0.33864441560E03 -0.33885872200E03 -0.33861335670E03 -339.393332 0.080377 -339.515229775 -339.550233852
f7_C4H5Cl3_000 -1535.33266533 -1535.34782018 -1536.06287727 -1536.00993747 -1532.77823171 -1532.78275103 -1532.81143248 -1532.92814302 -1532.96860186 -1532.97411682 -0.15336969929860E04 -0.15337140289181E04 -0.15339806149664E04 -0.15352936674798E04 -0.15337976529E04 -0.15338158462E04 -0.15341125827E04 -0.15337960703E04 -1535.539763 0.078651 -1536.05006914 -1536.04160922
f7_C4H5Cl3_001 -1535.35049918 -1535.36470025 -1536.08055167 -1536.03001701 -1532.80306466 -1532.80655382 -1532.83475359 -1532.95026414 -1532.99076226 -1532.99635012 -0.15337149487048E04 -0.15337295391369E04 -0.15339958637040E04 -0.15353071587656E04 -0.15338146577E04 -0.15338303971E04 -0.15341264185E04 -0.15338141780E04 -1535.551764 0.079954 -1536.06858539 -1536.05950110
f7_C4H5Cl3_002 -1535.34726265 -1535.36067311 -1536.07819098 -1536.02828478 -1532.80557228 -1532.80989230 -1532.83686950 -1532.95325655 -1532.99391842 -1532.99939555 -0.15337107675229E04 -0.15337261038326E04 -0.15339907816314E04 -0.15353020877787E04 -0.15338109445E04 -0.15338274484E04 -0.15341220835E04 -0.15338112396E04 -1535.547436 0.080777 -1536.06704917 -1536.05746003
f7_C4H5ClO2_000 -765.664769113 -765.675824418 -766.096909456 -766.101621815 -763.587599293 -763.596701052 -763.627089596 -763.733469611 -763.767311927 -763.773252195 -0.76457630245926E03 -0.76459921869920E03 -0.76484957086706E03 -0.76561729037961E03 -0.76465958667E03 -0.76468411350E03 -0.76495421743E03 -0.76465632718E03 -765.814723 0.085735 -766.088225306 -766.103544079
f7_C4H5N3_001 -319.424651253 -319.435812688 -319.658551393 -319.715454171 -317.736859791 -317.747184973 -317.771780979 -317.848505951 -317.872217493 -317.876833299 -0.31871527479514E03 -0.31873853556632E03 -0.31893466936676E03 -0.31938365100728E03 -0.31879268984E03 -0.31881673883E03 -0.31902401067E03 -0.31878889376E03 -319.531960 0.092522 -319.650186715 -319.692942633
f7_C4H6Cl2O_000 -1151.09591287 -1151.10869068 -1151.68043293 -1151.65890494 -1148.76213079 -1148.76928587 -1148.80134163 -1148.91349087 -1148.95137009 -1148.95714309 -0.11497141054801E04 -0.11497343362985E04 -0.11500019278765E04 -0.11510443612799E04 -0.11498079558E04 -0.11498297273E04 -0.11501226669E04 -0.11498076692E04 -1151.262612 0.094689 -1151.67017215 -1151.67668985
f7_C4H6Cl2O_001 -1151.09634767 -1151.10948279 -1151.68047710 -1151.65822866 -1148.75867404 -1148.76494821 -1148.79818741 -1148.90968635 -1148.94728858 -1148.95323677 -0.11497162159688E04 -0.11497357013787E04 -0.11500043523252E04 -0.11510469383867E04 -0.11498098990E04 -0.11498309481E04 -0.11501247187E04 -0.11498091404E04 -1151.265498 0.093498 -1151.66987785 -1151.67608778
f7_C4H6ClNO_000 -745.756277541 -745.768687679 -746.173786672 -746.187383878 -743.699742873 -743.708323188 -743.741777364 -743.840679160 -743.872428423 -743.878185970 -0.74468264179546E03 -0.74470479576948E03 -0.74495020146857E03 -0.74570613055892E03 -0.74477210585E03 -0.74479552489E03 -0.74505970010E03 -0.74477092804E03 -745.897515 0.096051 -746.164134224 -746.187910394
f7_C4H6N2O_000 -340.415484735 -340.426286925 -340.656427290 -340.716189806 -338.630106428 -338.637676462 -338.664925343 -338.744949755 -338.771891759 -338.777133516 -0.33966492198592E03 -0.33968368534375E03 -0.33990211924380E03 -0.34036161837696E03 -0.33974743674E03 -0.33976778226E03 -0.33999922350E03 -0.33973955177E03 -340.518151 0.099723 -340.648303339 -340.691687778
f7_C4H6N2O_001 -340.439544023 -340.450336735 -340.685988800 -340.739047308 -338.659845494 -338.669297425 -338.699165201 -338.782407549 -338.808946798 -338.814268953 -0.33967759684683E03 -0.33970023998363E03 -0.33992230939943E03 -0.34038701024358E03 -0.33975824397E03 -0.33978236891E03 -0.34001700588E03 -0.33975313082E03 -340.542399 0.100827 -340.677862672 -340.720248922
f7_C4H6N2O_002 -340.492623703 -340.504166995 -340.748442766 -340.794173280 -338.734047611 -338.745056435 -338.772554975 -338.858619417 -338.884675141 -338.889944330 -0.33972905136157E03 -0.33975335475697E03 -0.33997520820385E03 -0.34044335424394E03 -0.33980943585E03 -0.33983494816E03 -0.34006979894E03 -0.33980612366E03 -340.597494 0.102949 -340.739867456 -340.781676592
f7_C4H6O3_000 -381.398537711 -381.408921035 -381.685988991 -381.719259992 -379.539365384 -379.549855351 -379.577914573 -379.679321599 -379.708931285 -379.715256062 -0.38057465123036E03 -0.38060026763283E03 -0.38084786203078E03 -0.38134338554509E03 -0.38065349371E03 -0.38068147276E03 -0.38094449291E03 -0.38064816924E03 -381.511919 0.101551 -381.678383167 -381.708643953
f7_C4H6S3_000 -1349.99178307 -1350.00894247 -1350.64822254 -1350.62779813 -1347.47880566 -1347.48171274 -1347.51913514 -1347.62783882 -1347.66016128 -1347.66736754 -0.13483715582531E04 -0.13483850019039E04 -0.13486459236862E04 -0.13499137546386E04 -0.13484772311E04 -0.13484920055E04 -0.13487764605E04 -0.13484741751E04 -1350.130245 0.092546 -1350.63352931 -1350.63845611
f7_C4H7N3_001 -320.596429997 -320.608984622 -320.840365033 -320.895128495 -318.868852953 -318.879958321 -318.909310481 -318.987941227 -319.012106419 -319.017006138 -0.31985511331672E03 -0.31988014660954E03 -0.32009495704395E03 -0.32055007044522E03 -0.31994067637E03 -0.31996658020E03 -0.32019362659E03 -0.31993963439E03 -320.695717 0.115104 -320.831026338 -320.880495324
f7_C4H7N3_003 -320.587340029 -320.599987466 -320.830060123 -320.885997984 -318.857595561 -318.868296794 -318.898007101 -318.976271484 -319.000419069 -319.005308501 -0.31984603243850E03 -0.31987054366797E03 -0.32008568336350E03 -0.32054054546364E03 -0.31993179825E03 -0.31995717108E03 -0.32018443097E03 -0.31993074458E03 -320.686406 0.114917 -320.820649946 -320.870438486
f7_C4H8N2O_000 -341.603024716 -341.615890075 -341.852741621 -341.910615172 -339.779968843 -339.790249008 -339.819567186 -339.904104776 -339.930945972 -339.936420300 -0.34080707500825E03 -0.34083138008500E03 -0.34106547168869E03 -0.34153628113466E03 -0.34089733426E03 -0.34092311677E03 -0.34117121132E03 -0.34089326986E03 -341.691825 0.120198 -341.843177254 -341.892130169
f7_C4H8N2O_002 -341.706013160 -341.719192698 -341.971846637 -342.019892838 -339.919076312 -339.928675999 -339.958223390 -340.042817375 -340.068844842 -340.074264044 -0.34092593499175E03 -0.34094996302676E03 -0.34118730476483E03 -0.34165696594572E03 -0.34101079206E03 -0.34103654823E03 -0.34128818370E03 -0.34100786096E03 -341.801345 0.127004 -341.962181565 -342.012222484
f7_C4H9N3_000 -321.758775245 -321.772781007 -322.008254852 -322.069854273 -319.995185085 -320.004714691 -320.034870187 -320.110876561 -320.135197877 -320.140226229 -0.32099774698205E03 -0.32102129158485E03 -0.32125055098514E03 -0.32170594540860E03 -0.32109061686E03 -0.32111559431E03 -0.32135808688E03 -0.32109048794E03 -321.847228 0.137072 -321.997962173 -322.055397071
f7_C4H9NO2_000 -362.663939788 -362.676963039 -362.934071254 -362.986502154 -360.776746638 -360.785686268 -360.816396398 -360.906893829 -360.936542975 -360.942566624 -0.36183619438020E03 -0.36185948931622E03 -0.36211435284454E03 -0.36259739648372E03 -0.36193081350E03 -0.36195647993E03 -0.36222708764E03 -0.36192565436E03 -362.760553 0.129818 -362.924431510 -362.972920814
f7_C5H10Cl2_000 -1116.40442370 -1116.42302236 -1116.98598854 -1116.98330111 -1114.13394227 -1114.13676705 -1114.16694161 -1114.26147681 -1114.29584891 -1114.30102443 -0.11150576496671E04 -0.11150716803877E04 -0.11153485315336E04 -0.11163655375257E04 -0.11151654789E04 -0.11151809753E04 -0.11154838389E04 -0.11151669145E04 -1116.557315 0.140074 -1116.97122212 -1117.00423314
f7_C5H10N2_001 -305.724275547 -305.739634716 -305.972255183 -306.041613430 -304.015977823 -304.024783548 -304.052406610 -304.123006378 -304.146055038 -304.150860753 -0.30498355514761E03 -0.30500521945944E03 -0.30523421957846E03 -0.30567867931996E03 -0.30507982708E03 -0.30510260136E03 -0.30534482700E03 -0.30508064760E03 -305.810180 0.149003 -305.960888326 -306.025616366
f7_C5H10N2_003 -305.709738851 -305.725017519 -305.952468286 -306.027109054 -304.002322837 -304.008316379 -304.035981084 -304.102427105 -304.125829932 -304.130577917 -0.30497705971172E03 -0.30499409523131E03 -0.30522217557236E03 -0.30566060016065E03 -0.30507706312E03 -0.30509521857E03 -0.30533675003E03 -0.30507721535E03 -305.797457 0.147237 -305.941202659 -306.008245692
f7_C5H10O2_000 -346.723273379 -346.738035178 -347.002844064 -347.056307266 -344.912369833 -344.919879672 -344.954430658 -345.039567986 -345.067012002 -345.072807283 -0.34592180449151E03 -0.34594332596080E03 -0.34620492862739E03 -0.34667883192711E03 -0.34601288187E03 -0.34603636460E03 -0.34631367355E03 -0.34601011969E03 -346.823225 0.144089 -346.991857155 -347.048331734
f7_C5H10O2_002 -346.678478508 -346.692385933 -346.960257744 -347.014241783 -344.872728752 -344.880737535 -344.910322583 -344.996148572 -345.023218545 -345.029119784 -0.34587622561141E03 -0.34589816638648E03 -0.34615600425878E03 -0.34662893267310E03 -0.34596861121E03 -0.34599276361E03 -0.34626641936E03 -0.34596802623E03 -346.773496 0.147775 -346.950089051 -347.002938048
f7_C5H10O2_004 -346.690980428 -346.705576030 -346.972957170 -347.023977954 -344.881229632 -344.889473712 -344.921974000 -345.007783746 -345.035167174 -345.041103118 -0.34588710399466E03 -0.34590968919060E03 -0.34617070952793E03 -0.34664485628221E03 -0.34597777542E03 -0.34600246132E03 -0.34627908723E03 -0.34597763210E03 -346.787172 0.148673 -346.962259494 -347.017303909
